Curso;Seccion;N Interrogacion;Fecha;Vacantes
ICT2233;1;2;06-Jun;55
ICS2563;2;2;06-Jun;70
ICE3413;1;2;06-Jun;40
IIQ2663;1;2;06-Jun;40
IIC2143;1;2;06-Jun;140
ICM2003;1;2;06-Jun;64
ICH1104;3,2,1;2;06-Jun;360
ICS2121;1;2;08-Jun;190
ICS3582;1;2;08-Jun;50
ICE2028;1;2;08-Jun;20
IIC2213;1;2;08-Jun;100
IEE3732;1;2;08-Jun;18
ICT3623;1;2;08-Jun;35
IIC3745;1;2;08-Jun;90
ICS2523;4;2;08-Jun;50
IIC2343;1,2;2;08-Jun;198
IMM3800;1;2;09-Jun;20
IIC1103;11,10,12,6,8,7,9;2;09-Jun;680
IIC1103;4;2;12-Jun;120
IIC1103;5;2;12-Jun;120
IEE2213;1;2;12-Jun;60
IEE2123;1;2;12-Jun;60
IIQ2673;1;2;12-Jun;50
IMT3150;1;2;12-Jun;35
ICH2214;1;2;12-Jun;60
IIQ3343;1;2;12-Jun;40
IIC1253;2;2;12-Jun;140
ICC2105;1;2;12-Jun;100
ICE2604;1;2;12-Jun;95
ICE3124;1;2;12-Jun;40
ICH3364;1;2;12-Jun;20
ICM2813;1,2;2;12-Jun;84
ICT3435;1;2;13-Jun;30
EYP1113;1,4,2,3;2;13-Jun;496
IIC3284;1;2;13-Jun;30
IIC3757;1;2;14-Jun;50
IIC3242;1;2;14-Jun;140
ICE3663;1;2;14-Jun;30
ICH2114;1;2;14-Jun;100
IIC2133;2;2;14-Jun;140
IIC2133;1;2;14-Jun;140
ICC3434;1;2;14-Jun;50
ICM2403;1;2;14-Jun;66
ICE3513;1;2;14-Jun;30
IIC2714;1;2;14-Jun;30
ICH3222;1;2;15-Jun;25
ICM2223;1;2;15-Jun;60
ICE3233;1;2;15-Jun;40
IIQ2003;1;2;15-Jun;60
ICM1001;1;2;15-Jun;60
IMM1003;1;2;15-Jun;80
ICC3124;1;2;15-Jun;100
IIC1001;1;2;15-Jun;80
IIQ2013;2,3,1;2;15-Jun;75
ICS3151;1;2;16-Jun;20
