nodo1,nodo2,distancia,"",_duplicated_0,_duplicated_1,_duplicated_2,_duplicated_3,_duplicated_4,_duplicated_5,_duplicated_6,_duplicated_7,_duplicated_8,_duplicated_9,_duplicated_10,_duplicated_11,_duplicated_12,_duplicated_13,_duplicated_14,_duplicated_15,_duplicated_16,_duplicated_17,_duplicated_18
AP303,AP402,5,,,,,,,,,,,,,,,,,,,,
AP401,AP402,1,,,,,,,,,,,,,,,,,,,,
AP402,AP403,1,,,,,,,,,,,,,,,,,,,,
AP403,AP404,1,,,,,,,,,,,,,,,,,,,,
AP403,AP502,5,,,,,,,,,,,,,,,,,,,,
AP501,AP502,1,,,,,,,,,,,,,,,,,,,,
AP502,AP503,1,,,,,,,,,,,,,,,,,,,,
AP503,AP504,1,,,,,,,,,,,,,,,,,,,,
AP503,AP602,5,,,,,,,,,,,,,,,,,,,,
AP601,AP602,1,,,,,,,,,,,,,,,,,,,,
AP602,AP603,1,,,,,,,,,,,,,,,,,,,,
AP603,AP604,1,,,,,,,,,,,,,,,,,,,,
AUD_AP,AP001,5,,,,,,,,,,,,,,,,,,,,
