Curso;Seccion;N Interrogacion;Fecha;Vacantes
ICS2123;2;2;28-Jun;120
ICC2304;1;2;28-Jun;80
IIC2713;3;2;28-Jun;120
IIC2713;1;2;28-Jun;120
ICH2304;2;2;28-Jun;70
ICH1005;1;2;28-Jun;40
ICS3811;1;2;28-Jun;40
ICS3213;4,3,2,1;2;28-Jun;350
MAT1620;6,2,8,4,3,7,1,5;3;29-Jun;710
MAT1630;5,1,7,8,4,11,10,6,2,3,9;3;29-Jun;980
IEE2463;1;2;30-Jun;44
IIC2343;1,2;2;30-Jun;198
